Date,AAPL,AMZN,GOOGL,JNJ,JPM,KO,MSFT,NVDA,TSLA,XOM
2000-01-03,0.84,4.47,,23.41,22.91,13.61,35.6,0.09,,17.14
2000-01-04,0.77,4.1,,22.55,22.41,13.63,34.4,0.09,,16.81
2000-01-05,0.78,3.49,,22.79,22.27,13.75,34.76,0.08,,17.73
2000-01-06,0.71,3.28,,23.5,22.59,13.77,33.6,0.08,,18.65
2000-01-07,0.75,3.48,,24.5,23.0,14.67,34.04,0.08,,18.59
2000-01-10,0.73,3.46,,23.88,22.61,14.2,34.28,0.08,,18.33
2000-01-11,0.69,3.34,,23.96,22.07,14.69,33.41,0.08,,18.39
2000-01-12,0.65,3.18,,23.74,22.21,14.85,32.32,0.08,,18.28
2000-01-13,0.72,3.3,,23.71,22.55,14.63,32.93,0.08,,18.7
2000-01-14,0.75,3.21,,23.79,23.36,14.75,34.28,0.08,,18.33
2000-01-18,0.78,3.21,,23.18,22.45,15.7,35.22,0.09,,18.55
2000-01-19,0.8,3.34,,23.26,23.44,15.76,32.68,0.09,,18.73
2000-01-20,0.85,3.24,,23.34,23.42,15.91,32.38,0.09,,18.32
2000-01-21,0.83,3.1,,22.82,23.06,16.15,31.69,0.09,,18.61
2000-01-24,0.8,3.51,,21.25,23.08,15.67,30.92,0.08,,18.44
2000-01-25,0.84,3.46,,21.64,23.59,15.91,31.4,0.08,,18.4
2000-01-26,0.83,3.24,,21.2,24.8,15.23,30.35,0.08,,18.28
2000-01-27,0.82,3.35,,20.44,25.51,14.37,30.16,0.07,,17.73
2000-01-28,0.76,3.08,,21.45,24.25,13.75,30.01,0.07,,17.26
2000-01-31,0.78,3.23,,21.85,25.51,13.87,29.89,0.07,,18.14
2000-02-01,0.75,3.37,,21.53,26.48,14.04,31.44,0.07,,18.21
2000-02-02,0.74,3.47,,21.68,26.04,13.61,30.79,0.07,,18.35
2000-02-03,0.77,4.21,,21.15,26.3,13.34,31.65,0.08,,18.03
2000-02-04,0.81,3.93,,20.85,25.85,13.58,32.55,0.08,,17.7
2000-02-07,0.85,3.75,,20.68,25.98,13.74,32.57,0.07,,17.67
2000-02-08,0.86,4.16,,20.84,26.89,13.81,33.58,0.08,,17.28
2000-02-09,0.84,4.01,,20.31,26.2,13.77,31.76,0.08,,16.78
2000-02-10,0.85,3.81,,19.8,26.28,13.69,32.38,0.09,,16.7
2000-02-11,0.81,3.81,,19.73,26.12,13.42,30.52,0.1,,16.26
2000-02-14,0.87,3.72,,19.78,25.0,13.07,30.43,0.11,,16.82
2000-02-15,0.89,3.69,,20.31,25.63,13.45,30.1,0.11,,17.46
2000-02-16,0.85,3.53,,20.34,25.13,12.94,29.82,0.11,,17.61
2000-02-17,0.86,3.45,,20.18,24.78,12.63,30.43,0.12,,17.14
2000-02-18,0.83,3.24,,19.73,23.63,12.41,29.03,0.13,,16.51
2000-02-22,0.85,3.18,,20.03,24.42,12.5,28.65,0.13,,16.6
2000-02-23,0.87,3.52,,19.4,24.46,12.38,28.79,0.13,,16.43
2000-02-24,0.86,3.42,,18.79,24.03,12.03,28.94,0.12,,16.03
2000-02-25,0.83,3.46,,18.35,23.99,11.76,27.89,0.12,,15.64
2000-02-28,0.85,3.29,,18.54,24.64,11.91,27.97,0.12,,16.18
2000-02-29,0.86,3.44,,18.35,25.17,11.74,27.3,0.12,,16.58
2000-03-01,0.98,3.29,,18.7,25.93,12.32,27.74,0.12,,16.74
2000-03-02,0.91,3.13,,18.78,25.47,11.98,28.52,0.11,,16.95
2000-03-03,0.96,3.12,,18.73,25.65,12.11,29.36,0.11,,16.66
2000-03-06,0.94,3.2,,17.96,26.38,11.83,27.68,0.11,,16.05
2000-03-07,0.92,3.17,,17.45,25.87,11.38,28.37,0.16,,17.61
2000-03-08,0.91,3.18,,18.09,24.98,11.47,29.19,0.16,,17.53
2000-03-09,0.92,3.44,,18.52,25.65,11.29,30.54,0.19,,17.71
2000-03-10,0.94,3.34,,18.06,24.88,10.99,30.85,0.23,,16.96
2000-03-13,0.91,3.27,,17.84,25.31,10.61,29.93,0.29,,16.7
2000-03-14,0.86,3.28,,18.54,24.98,10.5,29.05,0.21,,17.0
2000-03-15,0.87,3.19,,19.6,26.28,11.53,29.13,0.2,,17.11
2000-03-16,0.91,3.31,,20.34,28.49,12.06,29.13,0.18,,17.55
2000-03-17,0.94,3.24,,20.27,28.77,11.91,30.35,0.19,,16.98
2000-03-20,0.92,3.21,,20.21,27.37,11.77,29.74,0.19,,16.48
2000-03-21,1.01,3.62,,20.45,29.09,11.98,31.38,0.18,,16.95
2000-03-22,1.08,3.53,,20.96,28.95,11.41,31.54,0.18,,16.49
2000-03-23,1.06,3.38,,20.38,31.14,11.39,34.17,0.19,,16.62
2000-03-24,1.04,3.63,,18.41,30.41,11.39,34.11,0.18,,17.0
2000-03-27,1.05,3.66,,17.77,29.94,10.97,31.78,0.17,,16.84
2000-03-28,1.04,3.51,,18.35,29.8,10.88,31.86,0.15,,17.39
2000-03-29,1.02,3.31,,18.11,28.57,11.36,32.74,0.14,,17.72
2000-03-30,0.94,3.33,,18.03,27.51,11.77,31.57,0.14,,17.31
2000-03-31,1.02,3.35,,17.9,27.57,11.38,32.45,0.16,,17.17
2000-04-03,1.0,3.18,,18.41,29.24,11.95,27.76,0.15,,17.72
2000-04-04,0.95,3.2,,19.56,27.57,12.7,27.05,0.14,,18.16
2000-04-05,0.98,3.11,,19.75,27.45,11.54,26.38,0.18,,17.55
